placeholder;что подставить;пример;где используется
SUBJECT;тема письма;Виолетта и чтение — мои рекомендации от основателя;subject + title
PARENT_NAME;имя родителя;Татьяна;приветствие
CHILD_NAME;имя ребёнка;Виолетта;текст + шаги + TTL
INTRO_PARAGRAPH;1–2 предложения после квиза;Рада что Виолетта с нами…;основной текст
FOUNDER_NOTE;персональный абзац из recommendation-rules.xlsx столбец founder_note_template;Открыла «Царевна-лягушка»… + сопровождение + анонс встречи;блок «Именно вам»
RECOMMENDED_COURSE;название курса;1 класс;рекомендация
TRIAL_TITLE;название пробного урока;Царевна-лягушка;кнопка + текст
TRIAL_LESSON_URL;signed URL урока;https://api.chitatelstvo.ru/lesson/…;кнопка пробного
PROGRESS_URL;ссылка /progress/…;https://api.chitatelstvo.ru/progress/…;главная CTA
PROGRAM_URL;ссылка на программу на сайте;https://chitatelstvo.ru/1-klass;дальше на сайте
STEP_1;шаг 1;Откройте сказку на странице прогресса…;инструкция
STEP_2;шаг 2;Ребёнок смотрит видео…;инструкция
STEP_3;шаг 3;Загляните в Словики, посмотрите какие трофеи вы заработали;инструкция
ALTERNATIVE_PARAGRAPH;опционально (можно удалить блок);Если удобнее с преподавателем…;опциональный блок
NEXT_OFFER_1;что посмотреть на сайте без цен;Форматы и запись — на странице программы;дальше на сайте
MEETING_ANNOUNCE;анонс курса с преподавателем;Рекомендую посмотреть «Ветер в ивах» / «Таинственный сад» + ссылка;блок ближайшие встречи
