"rule_id";"priority";"quiz_variant";"child_age_min";"child_age_max";"quiz_signal_id";"quiz_signal_value";"grade_or_group";"recommended_course_title";"recommended_course_group";"trial_lesson_slug";"trial_lesson_title";"program_url";"subject_line";"founder_note_template"
"1";"1";"early";"4";"6";"readiness";"Ещё почти не знает буквы";"early-letters";"Буквы оживают";"early-letters";"early-letters-trial-lesson-01";"Словик и пропавшие звуки";"https://chitatelstvo.ru/bukvy-ozhivayut";"{{CHILD_NAME}} и буквы — мои рекомендации от основателя";"Откройте «Словик и пропавшие звуки» — короткий квест про звук и букву А. Занятие на 10–20 минут, можно прерваться и вернуться. О курсе «Буквы оживают»: https://chitatelstvo.ru/bukvy-ozhivayut"
"2";"1";"early";"4";"6";"readiness";"Знает некоторые буквы";"early-letters";"Буквы оживают";"early-letters";"early-letters-trial-lesson-01";"Словик и пропавшие звуки";"https://chitatelstvo.ru/bukvy-ozhivayut";"{{CHILD_NAME}} и буквы — мои рекомендации от основателя";"Начните с «Словика и пропавших звуков» — знакомые буквы и игровые станции. Короткие шаги, можно остановиться и продолжить позже. О курсе: https://chitatelstvo.ru/bukvy-ozhivayut"
"3";"1";"early";"5";"7";"readiness";"Складывает слоги или короткие слова";"early-stories";"Первые истории";"early-stories";"early-stories-trial-lesson-01";"Спаси первую историю";"https://chitatelstvo.ru/pervye-istorii";"{{CHILD_NAME}} и первые истории — от основателя";"«Спаси первую историю» — короткие фразы, которые ребёнок читает сам. Пройдите бесплатный урок-сказку на платформе — посмотрите, как устроены задания со сказками на понимание. Для возраста 6–7 лет там нужна будет ваша помощь и сопровождение при прохождении. О курсе «Первые истории»: https://chitatelstvo.ru/pervye-istorii Рекомендую посмотреть курс «Ветер в ивах» — скоро стартует с преподавателем в группе. За месяц читаем одну классическую историю: групповые встречи и самостоятельное чтение по примеру открытого урока. https://chitatelstvo.ru/veter-v-ivah"
"4";"2";"early";"5";"7";"interest";"Короткие истории и картинки";"early-stories";"Первые истории";"early-stories";"early-stories-trial-lesson-01";"Спаси первую историю";"https://chitatelstvo.ru/pervye-istorii";"{{CHILD_NAME}} и первые истории — от основателя";"«Спаси первую историю» — мало текста, много картинок и маленьких заданий. Пройдите бесплатный урок-сказку на платформе — посмотрите, как устроены задания со сказками на понимание. Для возраста 6–7 лет там нужна будет ваша помощь и сопровождение при прохождении. О курсе: https://chitatelstvo.ru/pervye-istorii Рекомендую посмотреть курс «Ветер в ивах» — скоро стартует с преподавателем в группе. За месяц читаем одну классическую историю: групповые встречи и самостоятельное чтение по примеру открытого урока. https://chitatelstvo.ru/veter-v-ivah"
"5";"2";"early";"4";"6";"interest";"Игры со звуками и буквами";"early-letters";"Буквы оживают";"early-letters";"early-letters-trial-lesson-01";"Словик и пропавшие звуки";"https://chitatelstvo.ru/bukvy-ozhivayut";"{{CHILD_NAME}} и буквы — мои рекомендации от основателя";"«Словик и пропавшие звуки» — игры со звуком: слушаем, повторяем, ищем букву. Домашка короткая, Словик ведёт по шагам. О курсе: https://chitatelstvo.ru/bukvy-ozhivayut"
"6";"1";"reading";"6";"8";"grade";"1 класс";"grade-1";"1 класс";"grade-1";"grade-1-self_paced-stage-1-lesson-01";"Царевна-лягушка";"https://chitatelstvo.ru/1-klass";"{{CHILD_NAME}} и чтение — мои рекомендации от основателя";"Открыла «Царевна-лягушка» — первая сказка модуля для 1 класса. Пройдите бесплатный урок-сказку на платформе — посмотрите, как устроены задания со сказками на понимание. Для возраста 6–7 лет там нужна будет ваша помощь и сопровождение при прохождении. О программе 1 класса: https://chitatelstvo.ru/1-klass Рекомендую посмотреть курс «Ветер в ивах» — скоро стартует с преподавателем в группе. За месяц читаем одну классическую историю: групповые встречи и самостоятельное чтение по примеру открытого урока. https://chitatelstvo.ru/veter-v-ivah"
"7";"1";"reading";"7";"9";"grade";"2 класс";"grade-2";"2 класс";"grade-2";"grade-2-self_paced-stage-1-lesson-01";"Сказка о рыбаке и рыбке";"https://chitatelstvo.ru/2-klass";"{{CHILD_NAME}} и чтение — мои рекомендации от основателя";"Для 2 класса открыла «Сказку о рыбаке и рыбке». В уроке разбираем поступки героев и вопросы по тексту. Рекомендую программу для 2 класса, если нужна помощь в понимании того, что задали летом и что нужно будет написать в Дневнике летнего чтения для учительницы :) Подробнее о программе: https://chitatelstvo.ru/2-klass Рекомендую посмотреть курс «Ветер в ивах» — скоро стартует с преподавателем в группе. За месяц читаем одну классическую историю: групповые встречи и самостоятельное чтение по примеру открытого урока. https://chitatelstvo.ru/veter-v-ivah"
"8";"1";"reading";"8";"10";"grade";"3 класс";"grade-3";"3 класс";"grade-3";"grade-3-self_paced-stage-1-lesson-01";"Сказка о царе Салтане";"https://chitatelstvo.ru/3-klass";"{{CHILD_NAME}} и чтение — мои рекомендации от основателя";"«Сказка о царе Салтане» — первая сказка модуля 3 класса. Идём блоками: видео, вопросы, задание в тетради. Рекомендую программу для 3 класса, если нужна помощь в понимании того, что задали летом и что нужно будет написать в Дневнике летнего чтения для учительницы :) Подробнее о программе: https://chitatelstvo.ru/3-klass Рекомендую посмотреть курс «Ветер в ивах» — скоро стартует с преподавателем в группе. За месяц читаем одну классическую историю: групповые встречи и самостоятельное чтение по примеру открытого урока. https://chitatelstvo.ru/veter-v-ivah"
"9";"1";"reading";"9";"11";"grade";"4 класс";"grade-4";"4 класс";"grade-4";"grade-4-self_paced-stage-1-lesson-02";"Сказка о потерянном времени";"https://chitatelstvo.ru/4-klass";"{{CHILD_NAME}} и чтение — мои рекомендации от основателя";"Для 4 класса открыла «Сказку о потерянном времени». Урок уже доступен на вашей странице прогресса. Рекомендую программу для 4 класса, если нужна помощь в понимании того, что задали летом и что нужно будет написать в Дневнике летнего чтения для учительницы :) Подробнее о программе: https://chitatelstvo.ru/4-klass Рекомендую посмотреть курс «Таинственный сад» — скоро стартует с преподавателем в группе. За месяц читаем одну классическую историю: групповые встречи и самостоятельное чтение по примеру открытого урока. https://chitatelstvo.ru/tainstvenny-sad"
"10";"2";"reading";"6";"8";"hard";"Понять, о чём текст";"grade-1";"1 класс";"grade-1";"grade-1-self_paced-stage-1-lesson-01";"Царевна-лягушка";"https://chitatelstvo.ru/1-klass";"{{CHILD_NAME}} и понимание текста — от основателя";"Вы писали, что трудно понять, о чём текст. «Царевна-лягушка» — простой конфликт и вопросы про героев после каждого блока. Пройдите бесплатный урок-сказку на платформе — посмотрите, как устроены задания со сказками на понимание. Для возраста 6–7 лет там нужна будет ваша помощь и сопровождение при прохождении. О программе: https://chitatelstvo.ru/1-klass Рекомендую посмотреть курс «Ветер в ивах» — скоро стартует с преподавателем в группе. За месяц читаем одну классическую историю: групповые встречи и самостоятельное чтение по примеру открытого урока. https://chitatelstvo.ru/veter-v-ivah"
