ID модуля,Группа (код),Группа,Тариф (код),Тариф,Название модуля,Сказок в модуле,Этапы,№ сказок,Встреч,Цена (руб),Статус,Примечание
1,grade-1,1 класс,single,Разовое занятие,"Разовое занятие, 1 класс",1,Этап 1 или Этап 2,любая 1 из 4 (выбор этапа и сказки при записи),1,1490,черновик,Одна сказка на выбор: любая из 4 выбранного этапа. Номер сказки не назначается по умолчанию — указывается при записи. Сказки — лист СКАЗКИ
2,grade-1,1 класс,self_paced,Индивидуальное обучение,"Индивидуальное обучение, 1 класс",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",0,1990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
3,grade-1,1 класс,with_teacher,Модуль с преподавателем,"Модуль с преподавателем, 1 класс",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",8,4990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
4,grade-2,2 класс,single,Разовое занятие,"Разовое занятие, 2 класс",1,Этап 1 или Этап 2,любая 1 из 4 (выбор этапа и сказки при записи),1,1490,черновик,Одна сказка на выбор: любая из 4 выбранного этапа. Номер сказки не назначается по умолчанию — указывается при записи. Сказки — лист СКАЗКИ
5,grade-2,2 класс,self_paced,Индивидуальное обучение,"Индивидуальное обучение, 2 класс",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",0,1990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
6,grade-2,2 класс,with_teacher,Модуль с преподавателем,"Модуль с преподавателем, 2 класс",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",8,4990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
7,grade-3,3 класс,single,Разовое занятие,"Разовое занятие, 3 класс",1,Этап 1 или Этап 2,любая 1 из 4 (выбор этапа и сказки при записи),1,1490,черновик,Одна сказка на выбор: любая из 4 выбранного этапа. Номер сказки не назначается по умолчанию — указывается при записи. Сказки — лист СКАЗКИ
8,grade-3,3 класс,self_paced,Индивидуальное обучение,"Индивидуальное обучение, 3 класс",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",0,1990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
9,grade-3,3 класс,with_teacher,Модуль с преподавателем,"Модуль с преподавателем, 3 класс",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",8,4990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
10,grade-4,4 класс,single,Разовое занятие,"Разовое занятие, 4 класс",1,Этап 1 или Этап 2,любая 1 из 4 (выбор этапа и сказки при записи),1,1490,черновик,Одна сказка на выбор: любая из 4 выбранного этапа. Номер сказки не назначается по умолчанию — указывается при записи. Сказки — лист СКАЗКИ
11,grade-4,4 класс,self_paced,Индивидуальное обучение,"Индивидуальное обучение, 4 класс",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",0,1990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
12,grade-4,4 класс,with_teacher,Модуль с преподавателем,"Модуль с преподавателем, 4 класс",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",8,4990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
13,extra-6-8,Внеклассное чтение 6–8 лет,single,Разовое занятие,"Разовое занятие, Внекл. 6–8 лет",1,Этап 1 или Этап 2,любая 1 из 4 (выбор этапа и сказки при записи),1,1490,черновик,Одна сказка на выбор: любая из 4 выбранного этапа. Номер сказки не назначается по умолчанию — указывается при записи. Сказки — лист СКАЗКИ
14,extra-6-8,Внеклассное чтение 6–8 лет,self_paced,Индивидуальное обучение,"Индивидуальное обучение, Внекл. 6–8 лет",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",0,1990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
15,extra-6-8,Внеклассное чтение 6–8 лет,with_teacher,Модуль с преподавателем,"Модуль с преподавателем, Внекл. 6–8 лет",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",8,4990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
16,extra-9-11,Внеклассное чтение 9–11 лет,single,Разовое занятие,"Разовое занятие, Внекл. 9–11 лет",1,Этап 1 или Этап 2,любая 1 из 4 (выбор этапа и сказки при записи),1,1490,черновик,Одна сказка на выбор: любая из 4 выбранного этапа. Номер сказки не назначается по умолчанию — указывается при записи. Сказки — лист СКАЗКИ
17,extra-9-11,Внеклассное чтение 9–11 лет,self_paced,Индивидуальное обучение,"Индивидуальное обучение, Внекл. 9–11 лет",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",0,1990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
18,extra-9-11,Внеклассное чтение 9–11 лет,with_teacher,Модуль с преподавателем,"Модуль с преподавателем, Внекл. 9–11 лет",8,Этап 1 + Этап 2,"1, 2, 3, 4 (этап 1) + 1, 2, 3, 4 (этап 2)",8,4990,черновик,Этап 1: 4 недели и 4 сказки. Через месяц — этап 2: ещё 4 занятия. Сказки — лист СКАЗКИ
