ID сказки,Группа (код),Группа,Этап,№ сказки в этапе,Сказка (заполнить),Название урока (заполнить),Slug (не менять),Примечание
1,grade-1,1 класс,Этап 1,1,Царевна лягушка,Царевна лягушка,grade-1-stage1-tale-01,"Этап 1: 4 недели, 4 сказки"
2,grade-1,1 класс,Этап 1,2,Рассказы из Азбуки Л.Н. Толстой,Рассказы из Азбуки Л.Н. Толстой,grade-1-stage1-tale-02,"Этап 1: 4 недели, 4 сказки"
3,grade-1,1 класс,Этап 1,3,"Рассказы Н. Носова (Ступеньки, Заплатка, Затейники, Шляпа)","Рассказы Н. Носова (Ступеньки, Заплатка, Затейники, Шляпа)",grade-1-stage1-tale-03,"Этап 1: 4 недели, 4 сказки"
4,grade-1,1 класс,Этап 1,4,"Кот в сапогах, Мальчик с пальчик Ш. Перро","Кот в сапогах, Мальчик с пальчик Ш. Перро",grade-1-stage1-tale-04,"Этап 1: 4 недели, 4 сказки"
5,grade-1,1 класс,Этап 2,1,По щучьему велению,По щучьему велению,grade-1-stage2-tale-01,Этап 2: ещё 4 занятия через месяц после этапа 1
6,grade-1,1 класс,Этап 2,2,Сказка о мёртвой царевне и о семи богатырях А.С. Пушкин,Сказка о мёртвой царевне и о семи богатырях А.С. Пушкин,grade-1-stage2-tale-02,Этап 2: ещё 4 занятия через месяц после этапа 1
7,grade-1,1 класс,Этап 2,3,"Принцесса на горошине, Дюймовочка Г. Андерсен","Принцесса на горошине, Дюймовочка Г. Андерсен",grade-1-stage2-tale-03,Этап 2: ещё 4 занятия через месяц после этапа 1
8,grade-1,1 класс,Этап 2,4,"Аля, Кляксич и буква А И.П. Токманова","Аля, Кляксич и буква А И.П. Токманова",grade-1-stage2-tale-04,Этап 2: ещё 4 занятия через месяц после этапа 1
9,grade-2,2 класс,Этап 1,1,Сказка о рыбаке и рыбке А.С. Пушкин,Сказка о рыбаке и рыбке А.С. Пушкин,grade-2-stage1-tale-01,"Этап 1: 4 недели, 4 сказки"
10,grade-2,2 класс,Этап 1,2,Цветик-семицветик В.П. Катаев,Цветик-семицветик В.П. Катаев,grade-2-stage1-tale-02,"Этап 1: 4 недели, 4 сказки"
11,grade-2,2 класс,Этап 1,3,"Как муравьишка домой добирался, Где раки зимуют В.В. Бианки","Как муравьишка домой добирался, Где раки зимуют В.В. Бианки",grade-2-stage1-tale-03,"Этап 1: 4 недели, 4 сказки"
12,grade-2,2 класс,Этап 1,4,Гадкий утёнок Г. Андерсен,Гадкий утёнок Г. Андерсен,grade-2-stage1-tale-04,"Этап 1: 4 недели, 4 сказки"
13,grade-2,2 класс,Этап 2,1,Филипок + Азбука Л.Н. Толстой,Филипок + Азбука Л.Н. Толстой,grade-2-stage2-tale-01,Этап 2: ещё 4 занятия через месяц после этапа 1
14,grade-2,2 класс,Этап 2,2,Незнайка на Луне Н. Носов,Незнайка на Луне Н. Носов,grade-2-stage2-tale-02,Этап 2: ещё 4 занятия через месяц после этапа 1
15,grade-2,2 класс,Этап 2,3,Рикки-Тикки-Тави Р. Киплинг,Рикки-Тикки-Тави Р. Киплинг,grade-2-stage2-tale-03,Этап 2: ещё 4 занятия через месяц после этапа 1
16,grade-2,2 класс,Этап 2,4,"Маленькая Бабая-Яга, Маленький водяной О. Пройслер","Маленькая Бабая-Яга, Маленький водяной О. Пройслер",grade-2-stage2-tale-04,Этап 2: ещё 4 занятия через месяц после этапа 1
17,grade-3,3 класс,Этап 1,1,"Сказка о царе Салтане, о сыне его славном и могучем богатыре А.С. Пушкин","Сказка о царе Салтане, о сыне его славном и могучем богатыре А.С. Пушкин",grade-3-stage1-tale-01,"Этап 1: 4 недели, 4 сказки"
18,grade-3,3 класс,Этап 1,2,"Сказка про храброго зайца, Серая Шейка Д.Н. Мамин-Сибиряк","Сказка про храброго зайца, Серая Шейка Д.Н. Мамин-Сибиряк",grade-3-stage1-tale-02,"Этап 1: 4 недели, 4 сказки"
19,grade-3,3 класс,Этап 1,3,Черная курица или Подземные жители А. Погорельский,Черная курица или Подземные жители А. Погорельский,grade-3-stage1-tale-03,"Этап 1: 4 недели, 4 сказки"
20,grade-3,3 класс,Этап 1,4,Чудесный доктор А. Куприн,Чудесный доктор А. Куприн,grade-3-stage1-tale-04,"Этап 1: 4 недели, 4 сказки"
21,grade-3,3 класс,Этап 2,1,"Сказка о молодильных яблоках и живой воде, Волшебное кольцо","Сказка о молодильных яблоках и живой воде, Волшебное кольцо",grade-3-stage2-tale-01,Этап 2: ещё 4 занятия через месяц после этапа 1
22,grade-3,3 класс,Этап 2,2,Серебряный рубль В. Одоевский,Серебряный рубль В. Одоевский,grade-3-stage2-tale-02,Этап 2: ещё 4 занятия через месяц после этапа 1
23,grade-3,3 класс,Этап 2,3,Аленький цветочек С.Т. Аксаков,Аленький цветочек С.Т. Аксаков,grade-3-stage2-tale-03,Этап 2: ещё 4 занятия через месяц после этапа 1
24,grade-3,3 класс,Этап 2,4,Королевство кривых зеркал В. Губарев,Королевство кривых зеркал В. Губарев,grade-3-stage2-tale-04,Этап 2: ещё 4 занятия через месяц после этапа 1
25,grade-4,4 класс,Этап 1,1,Уральские сказы П. Бажов,Уральские сказы П. Бажов,grade-4-stage1-tale-01,"Этап 1: 4 недели, 4 сказки"
26,grade-4,4 класс,Этап 1,2,Сказка о потерянном времени Е. Шварц,Сказка о потерянном времени Е. Шварц,grade-4-stage1-tale-02,"Этап 1: 4 недели, 4 сказки"
27,grade-4,4 класс,Этап 1,3,Три толстяка Ю. Олеша,Три толстяка Ю. Олеша,grade-4-stage1-tale-03,"Этап 1: 4 недели, 4 сказки"
28,grade-4,4 класс,Этап 1,4,Остров Сокровищ Р. Стивенсон,Остров Сокровищ Р. Стивенсон,grade-4-stage1-tale-04,"Этап 1: 4 недели, 4 сказки"
29,grade-4,4 класс,Этап 2,1,Приключения Тома Сойера М.Твен,Приключения Тома Сойера М.Твен,grade-4-stage2-tale-01,Этап 2: ещё 4 занятия через месяц после этапа 1
30,grade-4,4 класс,Этап 2,2,"Белый Бим, Черное Ухо Г. Троепольский","Белый Бим, Черное Ухо Г. Троепольский",grade-4-stage2-tale-02,Этап 2: ещё 4 занятия через месяц после этапа 1
31,grade-4,4 класс,Этап 2,3,Пеппи Длинный чулок А. Линдгрен,Пеппи Длинный чулок А. Линдгрен,grade-4-stage2-tale-03,Этап 2: ещё 4 занятия через месяц после этапа 1
32,grade-4,4 класс,Этап 2,4,Путешествия Гулливера Дж. Свифт,Путешествия Гулливера Дж. Свифт,grade-4-stage2-tale-04,Этап 2: ещё 4 занятия через месяц после этапа 1
33,extra-6-8,Внеклассное чтение 6–8 лет,Этап 1,1,Плюшевый заяц или как игрушки становятся настоящими У. Марджери,Плюшевый заяц или как игрушки становятся настоящими У. Марджери,extra-6-8-stage1-tale-01,"Этап 1: 4 недели, 4 сказки"
34,extra-6-8,Внеклассное чтение 6–8 лет,Этап 1,2,Муми-тролль и комета Т. Янссон,Муми-тролль и комета Т. Янссон,extra-6-8-stage1-tale-02,"Этап 1: 4 недели, 4 сказки"
35,extra-6-8,Внеклассное чтение 6–8 лет,Этап 1,3,Шляпа волшебника Т. Янссон,Шляпа волшебника Т. Янссон,extra-6-8-stage1-tale-03,"Этап 1: 4 недели, 4 сказки"
36,extra-6-8,Внеклассное чтение 6–8 лет,Этап 1,4,Приключения медвежонка Паддингтона М. Бонд,Приключения медвежонка Паддингтона М. Бонд,extra-6-8-stage1-tale-04,"Этап 1: 4 недели, 4 сказки"
37,extra-6-8,Внеклассное чтение 6–8 лет,Этап 2,1,Невероятные приключения кролика Эдварда К. ДиКамилло,Невероятные приключения кролика Эдварда К. ДиКамилло,extra-6-8-stage2-tale-01,Этап 2: ещё 4 занятия через месяц после этапа 1
38,extra-6-8,Внеклассное чтение 6–8 лет,Этап 2,2,"Тутта Карлссон Первая и единственная, Людвиг Четырнадцатый и др. Я. Экхольм","Тутта Карлссон Первая и единственная, Людвиг Четырнадцатый и др. Я. Экхольм",extra-6-8-stage2-tale-02,Этап 2: ещё 4 занятия через месяц после этапа 1
39,extra-6-8,Внеклассное чтение 6–8 лет,Этап 2,3,Карлик Нос В. Гауф,Карлик Нос В. Гауф,extra-6-8-stage2-tale-03,Этап 2: ещё 4 занятия через месяц после этапа 1
40,extra-6-8,Внеклассное чтение 6–8 лет,Этап 2,4,Чарли и шоколадная фабрика Р. Даль,Чарли и шоколадная фабрика Р. Даль,extra-6-8-stage2-tale-04,Этап 2: ещё 4 занятия через месяц после этапа 1
41,extra-9-11,Внеклассное чтение 9–11 лет,Этап 1,1,"Мемуары папы Муми-тролля, Опасное лето Т. Янссон","Мемуары папы Муми-тролля, Опасное лето Т. Янссон",extra-9-11-stage1-tale-01,"Этап 1: 4 недели, 4 сказки"
42,extra-9-11,Внеклассное чтение 9–11 лет,Этап 1,2,На острове Сальткрока А. Линдгрен,На острове Сальткрока А. Линдгрен,extra-9-11-stage1-tale-02,"Этап 1: 4 недели, 4 сказки"
43,extra-9-11,Внеклассное чтение 9–11 лет,Этап 1,3,Собака Пес Д. Пеннак,Собака Пес Д. Пеннак,extra-9-11-stage1-tale-03,"Этап 1: 4 недели, 4 сказки"
44,extra-9-11,Внеклассное чтение 9–11 лет,Этап 1,4,"Вафельное сердце М. Парр","Вафельное сердце М. Парр",extra-9-11-stage1-tale-04,"Этап 1: 4 недели, 4 сказки"
45,extra-9-11,Внеклассное чтение 9–11 лет,Этап 2,1,Чудесное путешествие Нильса с дикими гусями С. Лагерлеф,Чудесное путешествие Нильса с дикими гусями С. Лагерлеф,extra-9-11-stage2-tale-01,Этап 2: ещё 4 занятия через месяц после этапа 1
46,extra-9-11,Внеклассное чтение 9–11 лет,Этап 2,2,Чудесное путешествие Нильса с дикими гусями С. Лагерлеф 2 часть,Чудесное путешествие Нильса с дикими гусями С. Лагерлеф 2 часть,extra-9-11-stage2-tale-02,Этап 2: ещё 4 занятия через месяц после этапа 1
47,extra-9-11,Внеклассное чтение 9–11 лет,Этап 2,3,Полианна Э. Портер,Полианна Э. Портер,extra-9-11-stage2-tale-03,Этап 2: ещё 4 занятия через месяц после этапа 1
48,extra-9-11,Внеклассное чтение 9–11 лет,Этап 2,4,"Калиф-аист, Маленький Мук В. Гауф","Калиф-аист, Маленький Мук В. Гауф",extra-9-11-stage2-tale-04,Этап 2: ещё 4 занятия через месяц после этапа 1
