ID урока,ID модуля,Группа,Тариф,Этап,№ сказки в этапе,Неделя открытия,Номер встречи,Видео (ссылка),Рабочий лист (ссылка),Задания (текст),Бейдж,Баллы,Slug (не менять),Статус,Примечание
1,1,1 класс,Разовое занятие,Этап 1 или Этап 2 (выбор),1–4 (выбор при записи),1,1,,,,Первый шаг,2,grade-1-single-lesson-01,черновик,Разовое занятие: при записи выбирают этап (1 или 2) и любую сказку № 1–4 этого этапа
2,2,1 класс,Индивидуальное обучение,Этап 1,1,1,0,,,,Первый шаг,2,grade-1-self_paced-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
3,2,1 класс,Индивидуальное обучение,Этап 1,2,2,0,,,,Читатель,2,grade-1-self_paced-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
4,2,1 класс,Индивидуальное обучение,Этап 1,3,3,0,,,,Следопыт,2,grade-1-self_paced-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
5,2,1 класс,Индивидуальное обучение,Этап 1,4,4,0,,,,Мастер пересказа,3,grade-1-self_paced-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
6,2,1 класс,Индивидуальное обучение,Этап 2,1,5,0,,,,Первый шаг,2,grade-1-self_paced-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
7,2,1 класс,Индивидуальное обучение,Этап 2,2,6,0,,,,Читатель,2,grade-1-self_paced-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
8,2,1 класс,Индивидуальное обучение,Этап 2,3,7,0,,,,Следопыт,2,grade-1-self_paced-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
9,2,1 класс,Индивидуальное обучение,Этап 2,4,8,0,,,,Мастер пересказа,3,grade-1-self_paced-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
10,3,1 класс,Модуль с преподавателем,Этап 1,1,1,1,,,,Первый шаг,2,grade-1-with_teacher-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
11,3,1 класс,Модуль с преподавателем,Этап 1,2,2,2,,,,Читатель,2,grade-1-with_teacher-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
12,3,1 класс,Модуль с преподавателем,Этап 1,3,3,3,,,,Следопыт,2,grade-1-with_teacher-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
13,3,1 класс,Модуль с преподавателем,Этап 1,4,4,4,,,,Мастер пересказа,3,grade-1-with_teacher-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
14,3,1 класс,Модуль с преподавателем,Этап 2,1,5,5,,,,Первый шаг,2,grade-1-with_teacher-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
15,3,1 класс,Модуль с преподавателем,Этап 2,2,6,6,,,,Читатель,2,grade-1-with_teacher-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
16,3,1 класс,Модуль с преподавателем,Этап 2,3,7,7,,,,Следопыт,2,grade-1-with_teacher-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
17,3,1 класс,Модуль с преподавателем,Этап 2,4,8,8,,,,Мастер пересказа,3,grade-1-with_teacher-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
18,4,2 класс,Разовое занятие,Этап 1 или Этап 2 (выбор),1–4 (выбор при записи),1,1,,,,Первый шаг,2,grade-2-single-lesson-01,черновик,Разовое занятие: при записи выбирают этап (1 или 2) и любую сказку № 1–4 этого этапа
19,5,2 класс,Индивидуальное обучение,Этап 1,1,1,0,,,,Первый шаг,2,grade-2-self_paced-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
20,5,2 класс,Индивидуальное обучение,Этап 1,2,2,0,,,,Читатель,2,grade-2-self_paced-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
21,5,2 класс,Индивидуальное обучение,Этап 1,3,3,0,,,,Следопыт,2,grade-2-self_paced-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
22,5,2 класс,Индивидуальное обучение,Этап 1,4,4,0,,,,Мастер пересказа,3,grade-2-self_paced-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
23,5,2 класс,Индивидуальное обучение,Этап 2,1,5,0,,,,Первый шаг,2,grade-2-self_paced-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
24,5,2 класс,Индивидуальное обучение,Этап 2,2,6,0,,,,Читатель,2,grade-2-self_paced-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
25,5,2 класс,Индивидуальное обучение,Этап 2,3,7,0,,,,Следопыт,2,grade-2-self_paced-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
26,5,2 класс,Индивидуальное обучение,Этап 2,4,8,0,,,,Мастер пересказа,3,grade-2-self_paced-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
27,6,2 класс,Модуль с преподавателем,Этап 1,1,1,1,,,,Первый шаг,2,grade-2-with_teacher-stage-1-lesson-01,черновик,"Этап 1: 4 недели, 4 сказки"
28,6,2 класс,Модуль с преподавателем,Этап 1,2,2,2,,,,Читатель,2,grade-2-with_teacher-stage-1-lesson-02,черновик,"Этап 1: 4 недели, 4 сказки"
29,6,2 класс,Модуль с преподавателем,Этап 1,3,3,3,,,,Следопыт,2,grade-2-with_teacher-stage-1-lesson-03,черновик,"Этап 1: 4 недели, 4 сказки"
30,6,2 класс,Модуль с преподавателем,Этап 1,4,4,4,,,,Мастер пересказа,3,grade-2-with_teacher-stage-1-lesson-04,черновик,"Этап 1: 4 недели, 4 сказки"
31,6,2 класс,Модуль с преподавателем,Этап 2,1,5,5,,,,Первый шаг,2,grade-2-with_teacher-stage-2-lesson-01,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
32,6,2 класс,Модуль с преподавателем,Этап 2,2,6,6,,,,Читатель,2,grade-2-with_teacher-stage-2-lesson-02,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
33,6,2 класс,Модуль с преподавателем,Этап 2,3,7,7,,,,Следопыт,2,grade-2-with_teacher-stage-2-lesson-03,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
34,6,2 класс,Модуль с преподавателем,Этап 2,4,8,8,,,,Мастер пересказа,3,grade-2-with_teacher-stage-2-lesson-04,черновик,Этап 2: ещё 4 занятия через месяц после этапа 1
35,7,3 класс,Разовое занятие,Этап 1 или Этап 2 (выбор),1–4 (выбор при записи),1,1,,,,Первый шаг,2,grade-3-single-lesson-01,черновик,Разовое занятие: при записи выбирают этап (1 или 2) и любую сказку № 1–4 этого этапа
